PassengerId,Survived
892,0.108716995
893,0.6482971
894,0.097959384
895,0.1359332
896,0.6807022
897,0.31865266
898,0.501555
899,0.12465374
900,0.81996393
901,0.13182084
902,0.1359332
903,0.15932845
904,0.8734114
905,0.054907933
906,1.1713189
907,0.77460796
908,0.1325781
909,0.17265883
910,0.44736058
911,0.7967529
912,0.08116119
913,0.5206404
914,0.8396023
915,0.2887022
916,0.9682269
917,0.05863112
918,0.74495786
919,0.16151616
920,0.21280564
921,0.09001367
922,0.07582406
923,0.12245962
924,0.62907314
925,0.686616
926,0.27536282
927,0.2892338
928,0.55212116
929,0.52839273
930,0.1460984
931,0.1359332
932,0.08855107
933,0.43249005
934,0.09335635
935,0.87508166
936,1.1251471
937,0.16624607
938,0.20207505
939,0.1359332
940,1.3490676
941,0.7559699
942,0.30954656
943,0.16161431
944,0.42560112
945,0.54621804
946,0.1846272
947,0.22685286
948,0.10733067
949,0.4528029
950,0.11592863
951,0.78045404
952,0.21280758
953,0.16108981
954,0.23733313
955,0.56966484
956,0.21312436
957,0.9567248
958,0.5940404
959,0.15716414
960,0.39454275
961,0.93491757
962,0.5615531
963,0.17265883
964,0.5469599
965,0.4653628
966,0.8333603
967,0.32350352
968,0.1359332
969,1.04128
970,0.169447
971,0.517792
972,0.4230514
973,0.1537216
974,0.15300322
975,0.1359332
976,0.1846272
977,0.10662569
978,0.5091542
979,0.5940404
980,0.5091542
981,1.2118182
982,0.8425727
983,0.1359332
984,0.8194094
985,0.1359332
986,0.20514064
987,0.16624607
988,1.284774
989,0.1435755
990,0.6423836
991,0.12721997
992,1.1123396
993,0.12316454
994,0.1359332
995,0.19088902
996,0.6513908
997,0.14852446
998,0.17265883
999,0.1359332
1000,0.18317108
1001,0.5186531
1002,0.13390736
1003,0.55212116
1004,0.76286733
1005,0.5399091
1006,1.1630194
1007,0.16784924
1008,0.1359332
1009,0.69617903
1010,0.31089956
1011,0.83055305
1012,0.728066
1013,0.10662569
1014,0.9484642
1015,0.14852446
1016,0.1359332
1017,0.5653763
1018,0.18997611
1019,0.33849207
1020,0.1157069
1021,0.15185568
1022,0.13086888
1023,0.9799745
1024,0.6023361
1025,0.11592863
1026,0.08955379
1027,0.17335519
1028,0.13832283
1029,0.16648741
1030,0.5210447
1031,0.049531106
1032,0.38338336
1033,0.6500075
1034,0.10566388
1035,0.1791507
1036,0.27781126
1037,0.06343818
1038,0.49577025
1039,0.16504973
1040,0.22387294
1041,0.4878314
1042,0.8985585
1043,0.1359332
1044,0.066023655
1045,0.7559699
1046,0.15820804
1047,0.15185568
1048,0.8070138
1049,0.5653738
1050,0.38231242
1051,0.69375473
1052,0.5091542
1053,0.47146192
1054,0.57952714
1055,0.1359332
1056,0.64457685
1057,0.624834
1058,0.21763308
1059,0.12897903
1060,0.9997238
1061,0.56966484
1062,0.1359332
1063,0.1359332
1064,0.14061315
1065,0.1359332
1066,0.05171232
1067,0.60840636
1068,0.59151566
1069,0.2188757
1070,1.04979
1071,1.3756678
1072,0.169447
1073,0.36313885
1074,0.9161402
1075,0.1359332
1076,0.9087863
1077,0.13633823
1078,0.65603393
1079,0.1621041
1080,0.24455819
1081,0.12000459
1082,0.108056284
1083,0.22387294
1084,0.32758763
1085,0.08603774
1086,0.70858026
1087,0.14938872
1088,0.6123749
1089,0.5940404
1090,0.2123645
1091,0.75932497
1092,0.5091542
1093,3.1652372
1094,0.8354915
1095,0.68103266
1096,0.19715253
1097,0.22387294
1098,0.48987174
1099,0.24639526
1100,0.7567592
1101,0.1460984
1102,0.13086888
1103,0.1359332
1104,0.2865666
1105,0.8098689
1106,0.15823324
1107,0.2341137
1108,0.55212116
1109,0.07875324
1110,1.0564387
